"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
25820,543037,"Cole, Gerrit",25820,100,0.221,0.146,0.291,0.367,0.278,0.283,0.222,1313,5932,88.2,12.3,2380,92.4,92.21,3633,12600,13205,-0.20000000000000284,6.25,111,153,116,150,295,320,292,"220.211","-220.211","69.9","7.2",6428,4069,843,263,19,188,1913,29.8,401,6.2,1.97792,0.74742,0.41279,-0.07603,"91.6",169,39.68922833816171,7.400579404793257,4.371499688861232,5.7,-2.15,0.12,2.32,0.274,281,"-0.852869868",0.276,0.37,"0.852869868",-0.001,-0.0020000000000000018,-0.003,-0.005,28.8,"40.6",8.47490842860961,0.9828795154321235,30.455156754795137,0.5098870056497176,38.013592538598175,28.368004781157506
24962,453286,"Scherzer, Max",24962,100,0.203,0.151,0.273,0.354,0.264,0.26,0.198,1184,5838,87.1,18.5,2310,89.5,88.96,4186,13030,11918,-0.5,6.06,112,152,114,148,295,314,294,"281.621","-281.621","69.6","7.3",6303,3843,711,261,17,195,2045,32.4,347,5.5,2.21776,0.70434,0.51286,-0.10673,"91.3",170,35.255866553576475,7.492225049476958,4.204347136284309,5.39,-3.34,0.02,2.3,0.255,265,"-1.128198862",0.252,0.34,"1.128198862",0.005,0.0030000000000000027,0.014,0.004,32.1,"28.2",10.619315315494495,-3.6776695526926577,32.89788449956121,0.4948665297741273,36.93735576488719,31.72925104075155
24117,502043,"Gibson, Kyle",24117,100,0.266,0.156,0.307,0.421,0.325,0.328,0.264,1500,5646,88.2,7.3,2153,88.3,88.81,2773,11053,13041,0.5,6.59,108,150,114,147,295,320,293,"-44.734","44.734","70.4","7.5",6274,4486,1013,279,24,184,1223,19.5,507,8.1,2.34358,0.60308,0.49233,-0.02838,"92.5",137,40.15636105188344,6.823027718550106,4.590372967803634,6.43,-2.04,0.12,2.06,0.33,288,"0.185487416",0.33,0.42,"-0.185487416",0.002,0,0.001,-0.003,25.1,"43.6",12.540741576338242,-4.775396635274175,33.34514011089012,0.5087108013937283,38.41356473622095,32.69867249977996
23358,425844,"Greinke, Zack",23358,100,0.241,0.151,0.279,0.392,0.288,0.302,0.249,1383,5727,87.7,10.7,2245,85.9,85.33,2598,10868,12478,-0.6000000000000085,5.87,112,153,115,150,298,323,298,"158.747","-158.747","70.2","7.3",6101,4497,912,265,20,186,1290,21.1,289,4.7,2.58632,0.6048,0.0731,-0.14837,"91.9",159,36.7639902676399,7.031630170316301,4.736928372397967,6.31,-1.23,0.02,2.01,0.279,289,"-0.679625824",0.288,0.408,"0.679625824",-0.008,-0.008999999999999952,-0.016,-0.014,23.9,"45.3",9.616906404553742,-0.12951581624816771,32.2111742991101,0.5306122448979592,38.37448599146722,29.576241749751645
22850,592332,"Gausman, Kevin",22850,100,0.255,0.159,0.318,0.414,0.31,0.312,0.249,1353,5315,88.3,12,2055,90.2,90.16,3204,11489,11359,0,6.33,109,154,116,148,296,319,294,"46.914","-46.914","70.4","7.3",5773,3899,880,277,19,177,1466,25.4,373,6.5,1.90864,0.95779,0.86412,-0.02063,"91.8",163,40.12547735951991,8.237861429350792,5.231248917373983,6.01,-2.49,-0.21,2.05,0.306,302,"-0.20531291",0.302,0.416,"0.20531291",0.006,0.0040000000000000036,-0.002,-0.002,27.9,"39.7",9.554218202796573,-2.7757399692355205,34.604714022796315,0.42857142857142855,36.83827289057733,30.35086107033029
22681,571578,"Corbin, Patrick",22681,100,0.273,0.175,0.323,0.448,0.332,0.336,0.269,1504,5515,89.3,9.1,2177,87.1,87.45,2796,10730,11944,0.4000000000000057,6.48,108,151,114,147,304,322,297,"-71.209","71.209","70.1","7.4",6051,4263,974,298,27,205,1326,21.9,429,7.1,2.42665,0.64411,0.4997,-0.37808,"92.5",156,42.46506986027944,8.882235528942116,5.8833250702363244,6.27,2.29,-0.1,1.98,0.327,356,"0.31395882",0.325,0.454,"-0.31395882",0.004,0.0020000000000000018,-0.006,-0.004,26.1,"43.7",11.592326309789525,-3.4740451179618708,33.55678337206597,0.466,37.857735923217234,31.690397959545383
22367,605400,"Nola, Aaron",22367,100,0.231,0.148,0.294,0.379,0.287,0.283,0.225,1234,5348,87.7,10.3,2168,86.7,87.09,2824,10501,11855,0.3999999999999915,6.63,110,151,114,148,294,321,292,"146.696","-146.696","69.9","7.5",5800,3813,804,237,24,169,1579,27.2,359,6.2,2.81837,0.27977,0.40921,-0.04103,"91.7",147,36.78065054211843,6.477620239088129,4.017241379310345,5.02,-2.02,0,2.17,0.284,233,"-0.655859078",0.28,0.366,"0.655859078",0.006,0.003999999999999948,0.013,0.004,26.9,"22.0",11.580800904074692,-5.115887452324236,33.434794894182915,0.5325542570951586,37.65546441588779,32.53130683386232
21904,458681,"Lynn, Lance",21904,100,0.242,0.157,0.295,0.399,0.307,0.3,0.23,1176,4868,87.7,13.4,2377,90.9,90.8,2724,10612,11272,-0.10000000000000853,6.18,110,151,113,148,295,319,296,"42.502","-42.502","70.1","7.1",5395,3604,773,209,25,169,1306,24.2,426,7.9,2.02911,0.76552,0.45407,-0.02197,"91.6",163,37.007168458781365,6.630824372759856,4.114921223354958,5.63,-2.7,-0.05,2.42,0.309,222,"-0.194037619",0.3,0.382,"0.194037619",0.012,0.009000000000000008,0.017,0.007,25.7,"32.1",8.37529965088938,3.276192082076498,31.00315339681303,0.5777080062794349,37.516164999689515,28.58803225919393
21506,434378,"Verlander, Justin",21506,100,0.204,0.149,0.256,0.353,0.263,0.269,0.209,1005,4925,87.8,18.6,2540,90,89.14,2937,10898,10602,-0.9000000000000057,5.92,111,153,115,149,294,320,292,"223.921","-223.921","69.8","7.2",5319,3455,628,188,23,166,1512,28.4,311,5.8,2.05686,0.851,0.39361,-0.05928,"91.4",175,36.988027725267806,7.403906742281033,4.418123707463809,6.74,-1.96,0.16,2.47,0.255,235,"-1.041202455",0.261,0.356,"1.041202455",-0.005,-0.006000000000000005,-0.003,-0.006,26.9,"53.5",9.908371313370662,0.6543668894933157,30.52369806397544,0.5789473684210527,37.22969772349251,28.840135920141755
21132,543294,"Hendricks, Kyle",21132,100,0.247,0.149,0.285,0.396,0.297,0.302,0.249,1282,5200,86,10.6,2089,83.9,83.21,2132,9683,11433,-0.7000000000000028,5.76,112,152,112,150,295,318,294,"104.883","-104.883","69.5","7.4",5620,4139,848,252,23,159,1125,20,296,5.3,2.54981,0.75219,0.65275,0.09643,"91.6",155,33.835978835978835,6.137566137566138,4.128113879003559,6.17,-2.27,-0.05,2.23,0.293,232,"-0.496323112",0.297,0.393,"0.496323112",-0.002,-0.0040000000000000036,0.003,-0.005,22,"46.9",10.535525516701675,-3.9353052711944674,32.48280542408179,0.48514851485148514,39.329034057645565,33.38651657122153
